Order_ID,Order_Date,Year,MonthIndex,Month,Quarter,State,City,Dealer_Name,Sales_Channel,Bike_Model,Bike_Segment,Engine_CC,Color,Customer_Age,Customer_Gender,Payment_Mode,On_Road_Price,Discount,Insurance_Amount,Accessories_Amount,Finance_Amount,Exchange_Bonus,Net_Sales_Amount,Cost_Price,Gross_Profit,Delivery_Days,Customer_Rating
ORD00040,14-09-2026,2026,9,September,Q3,Karnataka,Hubli,Honda Dealer Hubli,Showroom Walk-in,SP 125,Commuter,125,Black,52,Female,UPI,88730,6798,3519,5554,79915,2017,88988,69786,19202,3,3.5
ORD00041,04-08-2025,2025,8,August,Q3,Uttar Pradesh,Lucknow,Honda Dealer Lucknow,Online Booking,CB350,Premium,348,Grey,40,Female,Credit Card,210885,6783,3770,4350,202069,2033,210189,175192,34997,13,4.7
ORD00042,17-12-2025,2025,12,December,Q4,Karnataka,Mysore,Honda Dealer Mysore,Corporate Sale,Hornet 2.0,Sports,184,Blue,49,Male,Finance,144601,103,6890,9209,0,4009,156588,111461,45127,11,3.9
ORD00043,24-11-2026,2026,11,November,Q4,Gujarat,Surat,Honda Dealer Surat,Online Booking,Shine 125,Commuter,125,Grey,31,Female,UPI,83690,4600,5268,9291,0,439,93210,71872,21338,5,4.7
ORD00044,03-10-2026,2026,10,October,Q4,Uttar Pradesh,Lucknow,Honda Dealer Lucknow,Showroom Walk-in,Hornet 2.0,Sports,184,Red,31,Female,Credit Card,144757,4175,7520,6564,140336,246,154420,115313,39107,3,4.3
ORD00045,04-11-2026,2026,11,November,Q4,Gujarat,Ahmedabad,Honda Dealer Ahmedabad,Online Booking,SP 125,Commuter,125,Grey,21,Male,Cash,87683,4945,7082,3782,77907,4831,88771,76347,12424,7,4.6
ORD00046,04-03-2026,2026,3,March,Q1,Uttar Pradesh,Noida,Honda Dealer Noida,Showroom Walk-in,Activa 6G,Scooter,110,Black,42,Female,Cash,81145,3424,7044,1870,0,2458,84177,60804,23373,14,4.2
ORD00047,13-09-2026,2026,9,September,Q3,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Corporate Sale,Shine 125,Commuter,125,Red,46,Female,Credit Card,88929,3489,7492,8927,81483,3957,97902,65481,32421,13,3.6
ORD00048,31-12-2025,2025,12,December,Q4,Maharashtra,Pune,Honda Dealer Pune,Online Booking,Shine 125,Commuter,125,Black,33,Male,Credit Card,89311,6758,6110,9826,0,2285,96204,66671,29533,2,4.7
ORD00049,26-02-2026,2026,2,February,Q1,Gujarat,Ahmedabad,Honda Dealer Ahmedabad,Showroom Walk-in,Hornet 2.0,Sports,184,Blue,36,Female,Finance,142897,4759,7484,3398,137186,952,148068,114647,33421,9,3.9
ORD00050,14-03-2025,2025,3,March,Q1,Karnataka,Hubli,Honda Dealer Hubli,Showroom Walk-in,Shine 125,Commuter,125,Blue,51,Female,Credit Card,89145,5516,3727,5359,0,810,91905,63879,28026,9,4.5
ORD00051,20-01-2026,2026,1,January,Q1,Maharashtra,Pune,Honda Dealer Pune,Corporate Sale,Hornet 2.0,Sports,184,Grey,43,Female,Credit Card,138145,5476,4026,2183,127751,4918,133960,107748,26212,1,4.9
ORD00052,21-08-2026,2026,8,August,Q3,Maharashtra,Mumbai,Honda Dealer Mumbai,Corporate Sale,Shine 125,Commuter,125,White,37,Female,UPI,83199,3426,4360,3644,79480,293,87484,65538,21946,6,4.6
ORD00053,19-09-2025,2025,9,September,Q3,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Showroom Walk-in,Hornet 2.0,Sports,184,White,39,Female,Credit Card,143600,807,5818,6222,142700,93,154740,109353,45387,4,4.9
ORD00054,29-10-2025,2025,10,October,Q4,Delhi,New Delhi,Honda Dealer New Delhi,Corporate Sale,Hornet 2.0,Sports,184,White,35,Female,Credit Card,137434,3373,3674,6857,0,823,143769,112633,31136,13,4.6
ORD00055,01-06-2026,2026,6,June,Q2,Delhi,New Delhi,Honda Dealer New Delhi,Showroom Walk-in,SP 125,Commuter,125,Blue,23,Female,Cash,92557,555,3455,8223,88891,3111,100569,71539,29030,4,4.4
ORD00056,31-10-2025,2025,10,October,Q4,Delhi,New Delhi,Honda Dealer New Delhi,Showroom Walk-in,Hornet 2.0,Sports,184,Grey,34,Female,Cash,140718,1518,3301,8018,138490,710,149809,107281,42528,10,3.7
ORD00057,01-06-2025,2025,6,June,Q2,Gujarat,Surat,Honda Dealer Surat,Online Booking,Unicorn,Premium Commuter,160,Black,27,Female,Finance,113655,3993,5912,9820,105804,3858,121536,90518,31018,11,4.8
ORD00058,25-07-2026,2026,7,July,Q3,Gujarat,Surat,Honda Dealer Surat,Corporate Sale,Unicorn,Premium Commuter,160,Black,36,Male,UPI,112676,3824,7448,4501,108327,525,120276,86522,33754,1,3.7
ORD00059,02-10-2026,2026,10,October,Q4,Gujarat,Ahmedabad,Honda Dealer Ahmedabad,Showroom Walk-in,Hornet 2.0,Sports,184,Grey,38,Female,UPI,139198,3060,7125,3214,131973,4165,142312,108515,33797,11,4.2
ORD00060,22-08-2025,2025,8,August,Q3,Uttar Pradesh,Noida,Honda Dealer Noida,Showroom Walk-in,SP 125,Commuter,125,Black,37,Female,Cash,94205,5939,3075,3923,0,1101,94163,73321,20842,7,4.1
ORD00061,20-06-2026,2026,6,June,Q2,Gujarat,Surat,Honda Dealer Surat,Online Booking,Unicorn,Premium Commuter,160,Blue,21,Male,Credit Card,110274,5635,4942,2879,99963,4676,107784,85195,22589,5,4.6
ORD00062,11-04-2026,2026,4,April,Q2,Delhi,New Delhi,Honda Dealer New Delhi,Online Booking,SP 125,Commuter,125,Blue,38,Female,Cash,94085,3493,4163,1435,87789,2803,93387,70622,22765,3,3.6
ORD00063,19-01-2025,2025,1,January,Q1,Karnataka,Mysore,Honda Dealer Mysore,Corporate Sale,SP 125,Commuter,125,Black,45,Male,UPI,94764,3407,6333,5786,0,4502,98974,76372,22602,6,5
ORD00064,15-06-2026,2026,6,June,Q2,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Corporate Sale,Unicorn,Premium Commuter,160,Grey,34,Female,Credit Card,112387,2085,4441,6823,108497,1805,119761,87697,32064,14,4.3
ORD00065,24-02-2025,2025,2,February,Q1,Gujarat,Ahmedabad,Honda Dealer Ahmedabad,Showroom Walk-in,SP 125,Commuter,125,Black,45,Male,Finance,88110,684,3559,3165,0,2178,91972,72680,19292,1,4.8
ORD00066,13-09-2026,2026,9,September,Q3,Maharashtra,Pune,Honda Dealer Pune,Showroom Walk-in,Activa 6G,Scooter,110,White,54,Female,Cash,77860,2078,7382,9707,71937,3845,89026,65161,23865,11,4
ORD00067,24-01-2026,2026,1,January,Q1,Gujarat,Ahmedabad,Honda Dealer Ahmedabad,Corporate Sale,CB350,Premium,348,Grey,21,Female,Cash,210338,5363,7520,8903,202939,2036,219362,174152,45210,11,4.7
ORD00068,19-10-2026,2026,10,October,Q4,Maharashtra,Pune,Honda Dealer Pune,Online Booking,SP 125,Commuter,125,Grey,35,Male,UPI,91164,1430,5515,3232,85976,3758,94723,69175,25548,11,4.1
ORD00069,06-03-2026,2026,3,March,Q1,Karnataka,Hubli,Honda Dealer Hubli,Corporate Sale,SP 125,Commuter,125,Black,55,Female,Cash,91543,57,5301,2852,88542,2944,96695,69636,27059,15,3.8
ORD00070,20-07-2025,2025,7,July,Q3,Delhi,New Delhi,Honda Dealer New Delhi,Online Booking,Shine 125,Commuter,125,White,48,Male,Credit Card,86834,4825,4847,9426,80418,1591,94691,72240,22451,3,4.8
ORD00071,15-04-2026,2026,4,April,Q2,Delhi,New Delhi,Honda Dealer New Delhi,Showroom Walk-in,CB350,Premium,348,White,27,Male,UPI,212348,2164,6582,3486,208479,1705,218547,159404,59143,15,3.8
ORD00072,16-05-2025,2025,5,May,Q2,Maharashtra,Mumbai,Honda Dealer Mumbai,Showroom Walk-in,Unicorn,Premium Commuter,160,White,30,Male,UPI,114562,3520,5729,6315,107232,3810,119276,93135,26141,7,4
ORD00073,16-06-2026,2026,6,June,Q2,Karnataka,Hubli,Honda Dealer Hubli,Corporate Sale,Shine 125,Commuter,125,Grey,52,Male,Credit Card,84617,3186,7103,1527,78742,2689,87372,67803,19569,9,4.2
ORD00074,21-11-2025,2025,11,November,Q4,Karnataka,Hubli,Honda Dealer Hubli,Online Booking,Shine 125,Commuter,125,Red,23,Female,UPI,88643,3031,7691,3242,0,1676,94869,65286,29583,14,3.8
ORD00075,07-09-2025,2025,9,September,Q3,Karnataka,Bangalore,Honda Dealer Bangalore,Online Booking,SP 125,Commuter,125,Grey,40,Male,Finance,93196,6669,5907,4820,82373,4154,93100,74252,18848,10,4.1
ORD00076,24-04-2026,2026,4,April,Q2,Delhi,New Delhi,Honda Dealer New Delhi,Showroom Walk-in,Shine 125,Commuter,125,Grey,36,Female,Credit Card,87306,3814,3374,2754,0,4416,85204,64877,20327,8,4.2
ORD00077,17-02-2025,2025,2,February,Q1,Gujarat,Ahmedabad,Honda Dealer Ahmedabad,Showroom Walk-in,Unicorn,Premium Commuter,160,Black,34,Male,Credit Card,110209,347,3266,7312,0,2417,118023,91896,26127,11,4
ORD00078,18-11-2026,2026,11,November,Q4,Maharashtra,Nagpur,Honda Dealer Nagpur,Online Booking,SP 125,Commuter,125,Grey,47,Female,UPI,88950,2270,6836,9040,82614,4066,98490,76157,22333,1,4.1
ORD00079,18-10-2025,2025,10,October,Q4,Maharashtra,Mumbai,Honda Dealer Mumbai,Online Booking,Unicorn,Premium Commuter,160,Blue,51,Male,UPI,109183,1625,6463,5709,106785,773,118957,84238,34719,10,4
ORD00080,15-09-2026,2026,9,September,Q3,Karnataka,Bangalore,Honda Dealer Bangalore,Online Booking,Unicorn,Premium Commuter,160,Black,55,Male,Cash,109906,1645,7637,3167,104789,3472,115593,87536,28057,1,4.3
ORD00081,19-01-2025,2025,1,January,Q1,Delhi,New Delhi,Honda Dealer New Delhi,Online Booking,CB350,Premium,348,Black,39,Male,Finance,207731,6234,4837,7063,197591,3906,209491,175308,34183,15,4.8
ORD00082,25-09-2026,2026,9,September,Q3,Uttar Pradesh,Noida,Honda Dealer Noida,Online Booking,CB350,Premium,348,Blue,27,Female,UPI,207494,6643,4473,3543,196788,4063,204804,166005,38799,2,4.4
ORD00083,30-03-2025,2025,3,March,Q1,Gujarat,Surat,Honda Dealer Surat,Corporate Sale,SP 125,Commuter,125,Grey,39,Male,UPI,93218,1093,5696,8882,0,4301,102402,68452,33950,5,5
ORD00084,11-10-2026,2026,10,October,Q4,Gujarat,Surat,Honda Dealer Surat,Showroom Walk-in,Activa 6G,Scooter,110,Black,34,Female,Cash,77791,4610,5910,6267,0,2731,82627,64444,18183,15,4.1
ORD00085,30-04-2025,2025,4,April,Q2,Maharashtra,Mumbai,Honda Dealer Mumbai,Corporate Sale,Shine 125,Commuter,125,White,32,Female,Cash,82473,2643,6880,5311,78127,1703,90318,71924,18394,4,4.4
ORD00086,16-06-2025,2025,6,June,Q2,Delhi,New Delhi,Honda Dealer New Delhi,Corporate Sale,Shine 125,Commuter,125,Blue,20,Female,Finance,86518,2782,6521,4137,0,3069,91325,71366,19959,15,3.6
ORD00087,18-04-2025,2025,4,April,Q2,Karnataka,Mysore,Honda Dealer Mysore,Showroom Walk-in,Hornet 2.0,Sports,184,Black,52,Female,Finance,139479,1264,3544,2065,0,3671,140153,115257,24896,6,3.6
ORD00088,25-01-2025,2025,1,January,Q1,Maharashtra,Mumbai,Honda Dealer Mumbai,Corporate Sale,CB350,Premium,348,Black,28,Male,Finance,210368,5917,5204,7377,201283,3168,213864,177185,36679,11,4.4
ORD00089,19-04-2025,2025,4,April,Q2,Delhi,New Delhi,Honda Dealer New Delhi,Corporate Sale,Unicorn,Premium Commuter,160,Grey,36,Female,Finance,110393,2347,4734,1022,0,4482,109320,84909,24411,11,4.2
ORD00090,29-08-2025,2025,8,August,Q3,Delhi,New Delhi,Honda Dealer New Delhi,Corporate Sale,Shine 125,Commuter,125,Black,34,Female,Finance,83354,5880,6825,1521,0,4330,81490,71811,9679,4,4.1
ORD00091,09-11-2026,2026,11,November,Q4,Karnataka,Hubli,Honda Dealer Hubli,Corporate Sale,Activa 6G,Scooter,110,Red,38,Male,UPI,79282,6745,4658,7847,68740,3797,81245,67506,13739,4,4.6
ORD00092,16-08-2026,2026,8,August,Q3,Maharashtra,Mumbai,Honda Dealer Mumbai,Corporate Sale,CB350,Premium,348,Black,24,Male,Cash,211705,2069,7394,8014,205485,4151,220893,162070,58823,3,4.7
ORD00093,25-09-2025,2025,9,September,Q3,Maharashtra,Mumbai,Honda Dealer Mumbai,Online Booking,Hornet 2.0,Sports,184,Blue,47,Male,UPI,137112,6593,4487,1728,0,2762,133972,113116,20856,7,3.9
ORD00094,20-12-2025,2025,12,December,Q4,Delhi,New Delhi,Honda Dealer New Delhi,Corporate Sale,Activa 6G,Scooter,110,White,22,Female,Credit Card,81038,6536,7261,8845,0,4693,85915,63280,22635,11,3.7
ORD00095,08-11-2026,2026,11,November,Q4,Maharashtra,Pune,Honda Dealer Pune,Online Booking,CB350,Premium,348,Black,48,Female,Cash,212127,66,5979,3796,211580,481,221355,158294,63061,12,4.3
ORD00096,06-03-2026,2026,3,March,Q1,Maharashtra,Mumbai,Honda Dealer Mumbai,Showroom Walk-in,Shine 125,Commuter,125,Grey,40,Female,Finance,84531,5561,4949,3652,0,1079,86492,69232,17260,11,3.5
ORD00097,09-08-2025,2025,8,August,Q3,Uttar Pradesh,Lucknow,Honda Dealer Lucknow,Corporate Sale,Unicorn,Premium Commuter,160,Grey,30,Male,Finance,110340,4077,6058,6521,103952,2311,116531,82855,33676,15,4.1
ORD00098,10-05-2026,2026,5,May,Q2,Gujarat,Ahmedabad,Honda Dealer Ahmedabad,Showroom Walk-in,Activa 6G,Scooter,110,Grey,44,Female,Cash,81942,621,6310,8670,76754,4567,91734,66081,25653,10,4.3
ORD00099,11-06-2025,2025,6,June,Q2,Maharashtra,Mumbai,Honda Dealer Mumbai,Online Booking,SP 125,Commuter,125,Grey,44,Female,Finance,90591,2769,6478,5922,0,3042,97180,71818,25362,4,4.4
ORD00100,09-05-2025,2025,5,May,Q2,Delhi,New Delhi,Honda Dealer New Delhi,Showroom Walk-in,Hornet 2.0,Sports,184,Red,37,Male,Finance,140480,6538,3522,9840,129709,4233,143071,114304,28767,9,4.1
ORD00101,27-04-2026,2026,4,April,Q2,Uttar Pradesh,Lucknow,Honda Dealer Lucknow,Corporate Sale,CB350,Premium,348,Blue,24,Female,Finance,213263,1047,3672,6032,207898,4318,217602,160110,57492,6,4.9
ORD00102,05-03-2026,2026,3,March,Q1,Delhi,New Delhi,Honda Dealer New Delhi,Showroom Walk-in,Unicorn,Premium Commuter,160,White,38,Male,Credit Card,112668,4691,6177,7788,104690,3287,118655,83812,34843,11,4.4
ORD00103,10-09-2025,2025,9,September,Q3,Gujarat,Surat,Honda Dealer Surat,Showroom Walk-in,Shine 125,Commuter,125,Red,53,Female,Finance,85847,4592,6942,1633,76389,4866,84964,65213,19751,7,4.4
ORD00104,08-12-2026,2026,12,December,Q4,Delhi,New Delhi,Honda Dealer New Delhi,Online Booking,Unicorn,Premium Commuter,160,Grey,23,Male,Cash,109915,5268,4124,1937,102609,2038,108670,89669,19001,12,4.7
ORD00105,09-09-2026,2026,9,September,Q3,Gujarat,Ahmedabad,Honda Dealer Ahmedabad,Online Booking,SP 125,Commuter,125,Blue,33,Female,Cash,93629,4511,3727,5789,0,1470,97164,70103,27061,11,3.8
ORD00106,07-02-2026,2026,2,February,Q1,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Corporate Sale,Activa 6G,Scooter,110,Black,34,Female,Finance,81155,4943,4219,2915,71557,4655,78691,62762,15929,11,3.6
ORD00107,14-04-2026,2026,4,April,Q2,Maharashtra,Nagpur,Honda Dealer Nagpur,Online Booking,Shine 125,Commuter,125,Black,42,Female,Cash,87512,5936,4479,7655,0,3470,90240,68732,21508,4,4
ORD00108,19-12-2026,2026,12,December,Q4,Delhi,New Delhi,Honda Dealer New Delhi,Online Booking,Activa 6G,Scooter,110,Grey,38,Female,UPI,82191,5297,6129,6529,0,129,89423,60177,29246,12,3.9
ORD00109,13-10-2025,2025,10,October,Q4,Karnataka,Mysore,Honda Dealer Mysore,Corporate Sale,Unicorn,Premium Commuter,160,Grey,48,Male,UPI,107890,6511,7483,5603,100639,740,113725,90481,23244,7,4.7
ORD00110,09-05-2026,2026,5,May,Q2,Karnataka,Bangalore,Honda Dealer Bangalore,Corporate Sale,CB350,Premium,348,Blue,53,Female,Cash,209218,6811,7237,1156,0,1352,209448,170882,38566,6,3.5
ORD00111,01-07-2025,2025,7,July,Q3,Delhi,New Delhi,Honda Dealer New Delhi,Corporate Sale,Unicorn,Premium Commuter,160,Red,41,Female,Finance,111959,2874,6317,3493,0,3510,115385,83866,31519,9,4.4
ORD00112,01-05-2025,2025,5,May,Q2,Karnataka,Mysore,Honda Dealer Mysore,Showroom Walk-in,Unicorn,Premium Commuter,160,White,20,Female,Credit Card,110442,4712,6187,2394,0,1812,112499,89436,23063,5,4.2
ORD00113,02-05-2025,2025,5,May,Q2,Uttar Pradesh,Noida,Honda Dealer Noida,Online Booking,CB350,Premium,348,Blue,31,Male,Credit Card,213883,1319,3121,4721,0,4807,215599,163705,51894,10,4
ORD00114,04-09-2025,2025,9,September,Q3,Karnataka,Hubli,Honda Dealer Hubli,Corporate Sale,CB350,Premium,348,Grey,42,Male,UPI,214305,1018,6662,8237,0,3325,224861,160769,64092,4,4.4
ORD00115,07-02-2026,2026,2,February,Q1,Gujarat,Surat,Honda Dealer Surat,Showroom Walk-in,Shine 125,Commuter,125,Black,43,Male,UPI,82176,2078,4711,9183,79429,669,93323,71050,22273,4,4.5
ORD00116,23-04-2026,2026,4,April,Q2,Uttar Pradesh,Kanpur,Honda Dealer Kanpur,Corporate Sale,Unicorn,Premium Commuter,160,White,44,Female,Finance,114027,6426,7656,2122,0,2324,115055,88139,26916,11,4.8
ORD00117,10-09-2026,2026,9,September,Q3,Maharashtra,Nagpur,Honda Dealer Nagpur,Corporate Sale,Shine 125,Commuter,125,Black,26,Male,Credit Card,88254,5276,4124,8423,0,523,95002,69929,25073,7,5
ORD00118,10-06-2025,2025,6,June,Q2,Maharashtra,Mumbai,Honda Dealer Mumbai,Online Booking,Hornet 2.0,Sports,184,Blue,44,Female,Cash,138019,5780,7283,6217,129789,2450,143289,107955,35334,7,4.2
